epoch,train loss,train acc,test acc
1,1.3524408334079274,0.4457601225949864,0.48980496538446305
2,1.1240098046109002,0.5702826587911596,0.5908687951716971
3,0.9921084489414399,0.6381779985631851,0.6179078018411677
4,0.8854163040451825,0.6705977846594418,0.650709220703612
5,0.7957852084368946,0.7271772348944516,0.7331560292142503
6,0.7286312213556014,0.7548701300978023,0.7584219866610588
7,0.6716286278663472,0.7899159664776236,0.7721631209901039
8,0.6089513846897187,0.8136936595095671,0.813386525245423
9,0.5815144684862963,0.8270626434667863,0.8297872340425532
10,0.5660634538069128,0.8354182584400482,0.8204787234042553
11,0.6887926844989553,0.7659950345595252,0.7464539015546758
12,0.632611834269794,0.7799369750175884,0.7570921994270162
13,0.5840389745280067,0.8099694424134525,0.7216312060964868
14,0.5290447314155293,0.8280175707556985,0.826241135597229
15,0.48588072058351284,0.8448242937179811,0.7779255319148937
16,0.43898073141587607,0.8689839572192514,0.8000886529049975
17,0.434396689508688,0.8613922844596088,0.7384751781504205
18,0.40650056597383266,0.8739495800140707,0.8909574468085106
19,0.3603064728213504,0.8919977083563168,0.8829787234042553
20,0.3286058038951241,0.9092818948036847,0.8882978723404256
21,0.3193473564510677,0.9116692135040773,0.9055851063829787
